candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,actual_min_distance_mm,mask_radius_mm,total_open_area_mm2,hole_centers_mm,comments,json_path
blue_noise_n3_d0d75_mind3_s0,blue_noise,3,0.75,3.0,8.64384197953458,9.0,1.325359400733194,"[[0.0, 0.0], [-2.814366183608737, -8.172842048622002], [7.215752991055118, 4.979088337026268]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s0.json
blue_noise_n3_d0d75_mind3_s1,blue_noise,3,0.75,3.0,8.269882633969004,9.0,1.325359400733194,"[[0.0, 0.0], [-5.8590605006536185, -5.836297527482872], [6.6900471190752375, 5.65657201202385]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s1.json
blue_noise_n3_d0d75_mind6_s0,blue_noise,3,0.75,6.0,8.814968587715864,9.0,1.325359400733194,"[[0.0, 0.0], [8.625801155936584, 1.816377059054783], [-8.986709585312768, -0.26902056871186164]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind6_s0.json
blue_noise_n3_d0d75_mind6_s1,blue_noise,3,0.75,6.0,8.752644278790305,9.0,1.325359400733194,"[[0.0, 0.0], [-5.0542507821582525, 7.145861102910787], [-5.134029963729662, -7.194124092359601]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind6_s1.json
blue_noise_n3_d1d25_mind3_s0,blue_noise,3,1.25,3.0,8.64384197953458,9.0,3.6815538909255388,"[[0.0, 0.0], [-2.814366183608737, -8.172842048622002], [7.215752991055118, 4.979088337026268]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s0.json
blue_noise_n3_d1d25_mind3_s1,blue_noise,3,1.25,3.0,8.269882633969004,9.0,3.6815538909255388,"[[0.0, 0.0], [-5.8590605006536185, -5.836297527482872], [6.6900471190752375, 5.65657201202385]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s1.json
blue_noise_n3_d1d25_mind6_s0,blue_noise,3,1.25,6.0,8.814968587715864,9.0,3.6815538909255388,"[[0.0, 0.0], [8.625801155936584, 1.816377059054783], [-8.986709585312768, -0.26902056871186164]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s0.json
blue_noise_n3_d1d25_mind6_s1,blue_noise,3,1.25,6.0,8.752644278790305,9.0,3.6815538909255388,"[[0.0, 0.0], [-5.0542507821582525, 7.145861102910787], [-5.134029963729662, -7.194124092359601]]",blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s1.json
blue_noise_n5_d0d75_mind3_s0,blue_noise,5,0.75,3.0,7.153815419947682,9.0,2.2089323345553233,"[[0.0, 0.0], [-7.686527324389673, -3.9521036880355376], [4.594769562168582, -6.5762160062835715], [7.152188533934813, 0.15255896477303985], [4.376055089816319, 7.318237208555327]]",blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s0.json
blue_noise_n5_d0d75_mind3_s1,blue_noise,5,0.75,3.0,7.478939467585902,9.0,2.2089323345553233,"[[0.0, 0.0], [8.485087055401928, 2.171834406261249], [5.6066495791349125, -6.6094975468829], [-1.8349901008909755, -7.355509900988572], [-5.868962778662724, 6.259901509191029]]",blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s1.json
blue_noise_n5_d0d75_mind6_s0,blue_noise,5,0.75,6.0,8.024908839692042,9.0,2.2089323345553233,"[[0.0, 0.0], [2.424293385075027, 8.472013350317672], [-2.43924613298889, -7.645210277557199], [-6.933084420257752, 4.2627928811593145], [7.22755965262251, -3.717724557622534]]",blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind6_s0.json
