candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,total_open_area_mm2,angle_set,angle_indices,throughput_detection_phantom,throughput_lumpy_phantom,throughput_heldout_phantom,comments,json_path,sensitivity_mean,sensitivity_cv,sensitivity_min_over_mean,active_voxel_fraction,roi_sensitivity_mean,roi_sensitivity_cv,roi_active_voxel_fraction,global_truncation_physical_mean,global_truncation_physical_p95,global_truncation_padded_mean,roi_truncation_physical_mean,roi_truncation_physical_p95,roi_truncation_padded_mean,overlap_mean,overlap_max,overlap_high_fraction,global_coherence_max,global_coherence_p95,roi_coherence_max,roi_coherence_p95,task_fisher_d2_mean,task_fisher_d2_min,task_crlb_mean,task_crlb_max,ranking_score
blue_noise_n3_d0d75_mind3_s0,blue_noise,3,0.75,3.0,1.325359400733194,phase0_default,"0,9,18,27,36",1.1046461773841687,0.24789178997688388,0.2752632926283788,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s0.json,0.00010174383530229006,0.18727165601965737,0.4951850403860739,1.0,9.931336989919037e-05,0.0512656857352805,1.0,0.5270833333333332,0.6666666666666666,0.37925000000000003,0.5375555555555555,0.6,0.3333333333333333,0.01802600804598024,0.039509234382264655,0.0,0.0,0.0,0.6519523859024048,0.14996835589408875,2.1267706385918768e-05,1.704168233916612e-05,47756.20803038002,58679.65263627439,-1.6824871860871564
blue_noise_n3_d0d75_mind3_s0,blue_noise,3,0.75,3.0,1.325359400733194,phase1,"1,10,19,28,37",1.1037343749885573,0.247598322126852,0.2762108819210562,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s0.json,0.00010176342004408783,0.187935920263402,0.1674585645882079,1.0,9.923246211004464e-05,0.05108841162903053,1.0,0.5275833333333333,0.6666666666666666,0.3774166666666667,0.5371111111111111,0.6,0.3333333333333333,0.01832125126680527,0.040655848307057485,0.0,0.6299173831939697,0.0,0.24296757578849792,0.10740415006875992,1.9715862280910076e-05,1.5097160897133844e-05,52735.62095880316,66237.6195639438,-1.662274033113675
blue_noise_n3_d0d75_mind3_s0,blue_noise,3,0.75,3.0,1.325359400733194,phase2,"2,11,20,29,38",1.1018026972037107,0.24743062890818637,0.27649424463102845,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s0.json,0.00010175904207469922,0.18787018152073,0.24670624456163828,1.0,9.927718271006339e-05,0.050667991628933776,1.0,0.5249999999999999,0.6666666666666666,0.3790833333333334,0.5375555555555555,0.6,0.3333333333333333,0.019006155840899954,0.04247661891024139,0.0,0.0,0.0,0.5082594156265259,0.10185137391090393,2.025101343014239e-05,1.6200877654058953e-05,52496.237991473616,61725.0510344704,-1.6588034432089753
blue_noise_n3_d0d75_mind3_s0,blue_noise,3,0.75,3.0,1.325359400733194,phase3,"3,12,21,30,39",1.0995076304624587,0.24807656202343428,0.27670925414674835,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s0.json,0.0001017438535070264,0.18789663149182004,0.16956289075007516,1.0,9.929109084447467e-05,0.05053144423261645,1.0,0.5255,0.6666666666666666,0.37875,0.5368888888888887,0.6,0.3333333333333333,0.019922457277315616,0.04490217776715397,0.0,0.173798605799675,0.0,0.35200437903404236,0.15588949620723724,1.952412492146813e-05,1.3684831955221948e-05,53490.635271789484,73073.60465017719,-1.6875315823301222
blue_noise_n3_d0d75_mind3_s0,blue_noise,3,0.75,3.0,1.325359400733194,phase4,"4,13,22,31,40",1.0988948655810042,0.24881070141145434,0.27610622008473706,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s0.json,0.00010171496392299131,0.18836495934953823,0.22727168578602133,1.0,9.920979477066808e-05,0.05208465709714965,1.0,0.5280833333333333,0.6666666666666666,0.3794166666666666,0.5386666666666665,0.6,0.3333333333333333,0.01968066474876583,0.04427233987160041,0.0,0.0,0.0,0.5757994651794434,0.11063101887702942,1.836473599856078e-05,1.1975032786844149e-05,57000.132075099995,83507.07825189478,-1.6713879737533797
blue_noise_n3_d0d75_mind3_s1,blue_noise,3,0.75,3.0,1.325359400733194,phase0_default,"0,9,18,27,36",1.2439072955917703,0.2558408315896476,0.2955447976524947,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s1.json,0.00010894439575701558,0.13446078583813986,0.6082094637777654,1.0,0.00012847188632836908,0.06452453157164645,1.0,0.4913333333333334,0.6,0.29733333333333334,0.3804444444444444,0.4,0.086,0.023287153411039586,0.038356791833064036,0.0,0.11290682107210159,0.0,0.3195131719112396,0.09483367949724197,2.5524560263975392e-05,2.1768783669973294e-05,39580.00894130966,45937.339226690325,-1.3047244880549556
blue_noise_n3_d0d75_mind3_s1,blue_noise,3,0.75,3.0,1.325359400733194,phase1,"1,10,19,28,37",1.2399491263529818,0.25563619836693074,0.2969747431464137,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s1.json,0.00010894298096524166,0.13455353928727443,0.34509634270352996,1.0,0.000128937929686718,0.06918301911062973,1.0,0.4899166666666666,0.6,0.29975,0.3793333333333333,0.4,0.08511111111111111,0.023610273839206542,0.03830664041136517,0.0,0.10074807703495026,0.0,0.36217212677001953,0.10769133269786835,2.3877764033956604e-05,1.8411289553781583e-05,43625.84706699404,54314.50073493658,-1.3093375875555426
blue_noise_n3_d0d75_mind3_s1,blue_noise,3,0.75,3.0,1.325359400733194,phase2,"2,11,20,29,38",1.2358068482950453,0.25600819008931336,0.29875467645523446,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s1.json,0.00010895610031699556,0.13486092251471837,0.3932034304314884,1.0,0.00012904567026138008,0.06898734964070985,1.0,0.4894166666666666,0.6,0.30133333333333334,0.3764444444444444,0.4,0.08177777777777778,0.024370619764722785,0.039270203892156574,0.0,0.21094578504562378,0.0,0.41860562562942505,0.07963363826274872,2.371967845746488e-05,1.8163469691837428e-05,44563.795735120184,55055.56025176153,-1.2906928531614954
blue_noise_n3_d0d75_mind3_s1,blue_noise,3,0.75,3.0,1.325359400733194,phase3,"3,12,21,30,39",1.2359617416518605,0.2572455488632157,0.2997650597929598,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s1.json,0.00010899736277245987,0.13442060886921683,0.3400915316173923,1.0,0.00012877820973128715,0.06780491233429613,1.0,0.48599999999999993,0.6,0.30024999999999996,0.3804444444444444,0.4,0.08466666666666667,0.025002151625952224,0.04000229156977242,0.0,0.0,0.0,0.29669803380966187,0.06273433566093445,2.2577714835194958e-05,1.5778101510149157e-05,46127.97024239929,63378.981264428854,-1.2854248684585967
blue_noise_n3_d0d75_mind3_s1,blue_noise,3,0.75,3.0,1.325359400733194,phase4,"4,13,22,31,40",1.2395571018412497,0.25794756046157186,0.29858975419037537,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s1.json,0.00010891305052264705,0.1352977198949978,0.3404917893738107,1.0,0.00012888220972058327,0.06753382586957046,1.0,0.489,0.6,0.2995,0.37555555555555553,0.4,0.08533333333333333,0.024254203713465594,0.03791628839584009,0.0,0.10739429295063019,0.0,0.4973253607749939,0.11353741586208344,2.152870089312354e-05,1.4352741960367952e-05,48469.173671315504,69673.098196936,-1.3037211614469926
