candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,total_open_area_mm2,support_mode,angle_set,angle_indices,throughput_detection_phantom,throughput_lumpy_phantom,throughput_heldout_phantom,comments,json_path,sensitivity_mean,sensitivity_cv,sensitivity_min_over_mean,active_voxel_fraction,roi_sensitivity_mean,roi_sensitivity_cv,roi_active_voxel_fraction,global_truncation_physical_mean,global_truncation_physical_p95,global_truncation_padded_mean,roi_truncation_physical_mean,roi_truncation_physical_p95,roi_truncation_padded_mean,overlap_mean,overlap_max,overlap_high_fraction,global_coherence_max,global_coherence_p95,roi_coherence_max,roi_coherence_p95,task_fisher_d2_mean,task_fisher_d2_min,task_crlb_mean,task_crlb_max,ranking_score
blue_noise_n3_d0d75_mind3_s0,blue_noise,3,0.75,3.0,1.325359400733194,physical_padded,phase0_default,"0,9,18,27,36",0.5848877460158368,0.23937741033223603,0.2386702290412058,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s0.json,5.218632007920496e-05,0.21645596995931315,0.5842629293494916,1.0,4.667690088698566e-05,0.055105380391879184,1.0,0.5253888888888888,0.6666666666666666,0.379075,0.5368357487922705,0.5666666666666667,0.3333333333333333,0.03230206495610303,0.06791054358561856,0.0,0.26835572719573975,0.0067563545890152454,0.6305584907531738,0.15417009592056274,8.553965215626364e-07,5.838490196032555e-07,1229559.7343827947,1712771.5666621018,-1.7609441315891148
blue_noise_n3_d0d75_mind3_s1,blue_noise,3,0.75,3.0,1.325359400733194,physical_padded,phase0_default,"0,9,18,27,36",0.6640991260607428,0.2548618778790435,0.2545507582791582,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind3_s1.json,5.727816759446449e-05,0.16880954159223457,0.5323238071672035,1.0,6.14726960123407e-05,0.050728085390962796,1.0,0.4909305555555556,0.6,0.30149444444444445,0.3815562456866805,0.425,0.0955831608005521,0.03565410695469601,0.053782626047180385,0.0,0.3488439917564392,0.007913717068731785,0.5186237692832947,0.15123572945594788,1.1225220745414487e-06,7.950781237857798e-07,932918.4445579508,1257738.0386703142,-1.4003845972595972
blue_noise_n3_d0d75_mind6_s0,blue_noise,3,0.75,6.0,1.325359400733194,physical_padded,phase0_default,"0,9,18,27,36",0.6212803074880625,0.24520847165027027,0.25566845881765166,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind6_s0.json,5.5983841959266124e-05,0.26477704247030265,0.544630935898101,1.0,5.0136728841182125e-05,0.12495544397543068,1.0,0.5111666666666667,0.6666666666666666,0.12071388888888888,0.525,0.625,0.042839889579020005,0.09270787570160671,0.15393481304977022,0.0,0.2180534154176712,0.008733156137168407,0.7400874495506287,0.1855127364397049,8.36381085181745e-07,5.429659303568001e-07,1271968.9617242396,1841736.1828630173,-1.8536208112836003
blue_noise_n3_d0d75_mind6_s1,blue_noise,3,0.75,6.0,1.325359400733194,physical_padded,phase0_default,"0,9,18,27,36",0.5816873594357889,0.24833557024482825,0.2497979885566079,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d0d75_mind6_s1.json,5.6434527919372106e-05,0.20907338034928527,0.5697650106766187,1.0,3.572720811547139e-05,0.025877131799328257,1.0,0.5200805555555555,0.6666666666666666,0.4150166666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.03807599219669947,0.057444324269137675,0.0,0.45510005950927734,0.004470170475542545,0.6108757257461548,0.16690853238105774,7.058669851597998e-07,4.702835414396312e-07,1495321.1942975156,2126376.774613038,-1.9727089641551476
blue_noise_n3_d1d25_mind3_s0,blue_noise,3,1.25,3.0,3.6815538909255388,physical_padded,phase0_default,"0,9,18,27,36",1.5095651380712254,0.5499901482795894,0.5483348253170786,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s0.json,0.0001447932774880112,0.20635875033573262,0.5849437512727045,1.0,0.00012973715124314474,0.05155960713870199,1.0,0.5263583333333334,0.6583333333333333,0.37717500000000004,0.5365769496204278,0.5583333333333333,0.3333333333333333,0.038974453421328,0.08189338914892341,0.0,0.2948422431945801,0.0057214912958443165,0.49318692088127136,0.08847327530384064,1.7293485147330305e-06,1.111053758521406e-06,612301.3040861182,900046.4579956989,-1.6676624700163412
blue_noise_n3_d1d25_mind3_s1,blue_noise,3,1.25,3.0,3.6815538909255388,physical_padded,phase0_default,"0,9,18,27,36",1.7210988371546578,0.5938107151329951,0.5928828686586141,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s1.json,0.00015892832282387757,0.1632838006125329,0.5329190001379798,1.0,0.00016752691674815648,0.03858534453501027,1.0,0.4890305555555556,0.5916666666666667,0.2997194444444444,0.3927018633540373,0.425,0.12272256728778469,0.04260067228799292,0.06481534726477492,0.0,0.2702080011367798,0.008270766586065292,0.45243650674819946,0.09970167279243469,2.1743544861181253e-06,1.4562379152696099e-06,485033.2070869766,686700.9775767709,-1.3223813286415251
blue_noise_n3_d1d25_mind6_s0,blue_noise,3,1.25,6.0,3.6815538909255388,physical_padded,phase0_default,"0,9,18,27,36",1.6101374927660768,0.5668679212567392,0.5959459165471414,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s0.json,0.0001553388089491987,0.26064941340267167,0.5452335025988609,1.0,0.00013888426162075458,0.12057755210167811,1.0,0.5132861111111111,0.6666666666666666,0.11949722222222223,0.5261214630779848,0.6166666666666667,0.04432367149758454,0.10832115714519978,0.17985679850703926,0.0,0.22250716388225555,0.00884174183011055,0.562996506690979,0.0984111875295639,1.7188239013843981e-06,1.0637137932020822e-06,625508.1952505438,940102.5035030472,-1.7635559635237485
blue_noise_n3_d1d25_mind6_s1,blue_noise,3,1.25,6.0,3.6815538909255388,physical_padded,phase0_default,"0,9,18,27,36",1.506548297117602,0.575689760019161,0.5793676928336691,blue-noise sparse 3-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s1.json,0.00015650775329169788,0.19954521081642376,0.5289614556744621,1.0,0.0001005575002640791,0.026770868351101346,1.0,0.5190361111111111,0.6583333333333333,0.41634722222222226,0.6583505866114562,0.6583333333333333,0.6564872325741891,0.04165726355817078,0.06285758028957517,0.0,0.1521371603012085,0.008913308382034302,0.6137020587921143,0.09795276075601578,1.4507437361871583e-06,9.089147546662914e-07,734128.6080834189,1100213.1881632295,-1.854795774895919
blue_noise_n5_d0d75_mind3_s0,blue_noise,5,0.75,3.0,2.2089323345553233,physical_padded,phase0_default,"0,9,18,27,36",0.8316261508498086,0.32290148027608334,0.33343418120293317,blue-noise sparse 5-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s0.json,7.906245759972434e-05,0.18250357215885113,0.41021071964957595,1.0,6.391619904331643e-05,0.07709723779922936,1.0,0.55912,0.645,0.30258666666666667,0.6255693581780538,0.655,0.3755383022774327,0.06921852934922605,0.289970670561947,0.0,0.4077907204627991,0.013598337769508362,0.5134791731834412,0.1439635008573532,8.954033438728866e-07,6.971767337317774e-07,1141698.5092193198,1434356.5291505076,-2.1300029598426717
blue_noise_n5_d0d75_mind3_s1,blue_noise,5,0.75,3.0,2.2089323345553233,physical_padded,phase0_default,"0,9,18,27,36",0.7767390174872125,0.31519132239757136,0.31724148866334956,blue-noise sparse 5-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s1.json,7.550680036509613e-05,0.24465828199787815,0.5270166025378243,1.0,5.280498843534316e-05,0.05747615003918968,1.0,0.58469,0.7,0.3786550000000001,0.6714182194616978,0.7044999999999998,0.4727329192546584,0.08040500439872181,0.4480693776190217,0.0,0.3884933292865753,0.010295207612216473,0.5419071316719055,0.17038454115390778,8.945752772588927e-07,5.797840446726618e-07,1205929.2075669442,1724780.1300992793,-2.418164711382907
