detection_limit_mgml,roi_r_squared,cnr_slope,roi_bias_proxy,candidate_id,family,perturbation,projection_deviance,residual_structure_score,total_counts
-26.689207626826455,0.19804270455369544,-0.16663519114762618,39.34262662528836,grid9_p6_d1p25_5,grid3x3,nominal,233390569.13009453,0.9878963019278986,200000.064
-27.13990596521151,0.18452746326371416,-0.1639628506864193,39.364796575675065,grid9_p6_d1p25_5,grid3x3,mask_dx_p0.1,233523253.79504824,0.9878896888606484,199945.31837517573
-27.74187776995323,0.19224313231038415,-0.16002300602967967,39.35321059925072,grid9_p6_d1p25_5,grid3x3,mask_dx_m0.1,233376620.07097563,0.9878967103878021,200011.2225392103
-28.09995980626061,0.16775859340100108,-0.15594648786656812,40.13094260712691,grid9_p6_d1p25_5,grid3x3,mask_dz_p0.1,233173628.9119668,0.9878881080093732,200179.30510522926
-27.70419504064967,0.16157712405488855,-0.15801723679559293,40.37002308637747,grid9_p6_d1p25_5,grid3x3,mask_dz_m0.1,234890503.1552003,0.9878040144232796,199352.35428602598
-26.527093185904693,0.19463252588838664,-0.16726661484336858,39.49665324456353,grid9_p6_d1p25_5,grid3x3,detector_distance_p0.1,234911286.0297984,0.98784411634684,199315.59917359226
-27.02144568831691,0.199111095316709,-0.16516180407058476,39.155971047854294,grid9_p6_d1p25_5,grid3x3,detector_distance_m0.1,231549023.68208444,0.9879569115083044,200827.69639505172
-25.59700756069002,0.18598437606508922,-0.1720545920680901,40.06890977467023,grid9_p6_d1p25_5,grid3x3,detector_distance_p0.5,240911033.81433174,0.9876278767164713,196581.72173528845
-28.170828818687664,0.20681788618098607,-0.1595575898548048,38.52946575894967,grid9_p6_d1p25_5,grid3x3,detector_distance_m0.5,225526145.85778716,0.9881381954368196,203501.14610188061
-26.85505188423193,0.19421602817548822,-0.16535889415056604,39.36072677538875,grid9_p6_d1p25_5,grid3x3,detector_offset_p0.1,233469405.53694427,0.987893486493334,199967.91742068372
-26.74068951681655,0.19569247125415634,-0.1662655962918184,39.359496430045624,grid9_p6_d1p25_5,grid3x3,detector_offset_m0.1,233499856.11834413,0.9878921281145452,199953.75190234088
-26.611038671665664,0.19775075134116227,-0.16692562692718563,39.443687886041936,grid9_p6_d1p25_5,grid3x3,rotation_center_p0.1,234448021.19415694,0.9878558358940953,199527.3794591575
-26.884918187971078,0.19692685979883506,-0.16549516675794215,39.26949501943552,grid9_p6_d1p25_5,grid3x3,rotation_center_m0.1,232557027.3004332,0.9879290014032924,200371.57603324266
-26.82045257226916,0.1959726606668759,-0.16584184335443913,39.340644059083715,grid9_p6_d1p25_5,grid3x3,angle_p0.1,233353552.31010282,0.9878977041614262,200017.53877394804
-26.675774350683852,0.1980508172980181,-0.16667136862489512,39.34818333756005,grid9_p6_d1p25_5,grid3x3,angle_m0.1,233432395.42455196,0.9878946930841555,199981.39662676203
-26.970283326810357,0.19279830769506123,-0.16489267434783123,39.37069713346728,grid9_p6_d1p25_5,grid3x3,angle_p0.5,233594131.07617283,0.987889405630414,199910.12507521035
-26.666977220156813,0.1996432083856715,-0.16665061728243585,39.34263837739451,grid9_p6_d1p25_5,grid3x3,angle_m0.5,233356055.30406928,0.9878969109157573,200017.79802203568
-26.33659660946096,0.18516383870147768,-0.1671820768196243,39.86385438697574,grid9_p6_d1p25_5,grid3x3,center_jitter_sigma0.05,237286496.00198612,0.9877485576346358,198256.95289312233
1.2138696399754207,0.8627186705192028,5.136728439808149,-0.6825764028178333,blue_noise_n3_d0d75_mind3_s0,blue_noise,nominal,17530055.96505385,0.3674190912243493,200000.06399999995
2.6273295451401233,0.8083249625208743,1.9705646368239647,-0.43114534130615956,blue_noise_n3_d0d75_mind3_s0,blue_noise,mask_dx_p0.1,17545049.238554418,0.5159438277695251,199231.43741917415
2.489422186015727,0.9371027863943332,2.0785256050469667,-0.8470169757815149,blue_noise_n3_d0d75_mind3_s0,blue_noise,mask_dx_m0.1,17555496.52010967,0.33655797086568867,200785.12331728474
-3.9780365362101646,0.7514877328561221,-0.9585409784885188,4.575815547092689,blue_noise_n3_d0d75_mind3_s0,blue_noise,mask_dz_p0.1,18953131.74122508,0.2768767261533114,200591.1292396359
-8.274411394223002,0.3319108653461288,-0.4652896427673848,-0.5737482438970031,blue_noise_n3_d0d75_mind3_s0,blue_noise,mask_dz_m0.1,18070677.933856197,0.28903701676505084,199422.47436973423
2.0487384887547035,0.8517652561982987,2.6508984729694482,-0.5664918332836405,blue_noise_n3_d0d75_mind3_s0,blue_noise,detector_distance_p0.1,17527772.66482024,0.331968363657922,199695.25421258382
0.5173248669204198,0.8901149354452033,36.38416089952227,-0.7827067221071365,blue_noise_n3_d0d75_mind3_s0,blue_noise,detector_distance_m0.1,17549199.68044769,0.36598606131420497,200308.26870946673
4.722300439713321,0.8321240756242871,1.1233164073034647,0.10762097712123087,blue_noise_n3_d0d75_mind3_s0,blue_noise,detector_distance_p0.5,17615774.173104174,0.5029803297077636,198703.72249790025
-35.8141819612459,0.03384346780773784,-0.12233900248269297,-0.17964227067402994,blue_noise_n3_d0d75_mind3_s0,blue_noise,detector_distance_m0.5,17603186.212234695,0.33613891971911863,201333.79105153133
0.5794684110827341,0.87526188687605,21.656442459436807,-0.7860339731164986,blue_noise_n3_d0d75_mind3_s0,blue_noise,detector_offset_p0.1,17544173.92035198,0.32175215699718873,200312.06257280707
